2026-03-22 14:49:47 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:49:47 | DEBUG | httpcore.connection | connect_tcp.started host='ru-2.gateway.nekocode.app' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-22 14:49:48 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7038a9457d70>
2026-03-22 14:49:48 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7038a97fb5d0> server_hostname='ru-2.gateway.nekocode.app' timeout=5.0
2026-03-22 14:49:48 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7038a9e5bec0>
2026-03-22 14:49:48 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:49:48 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:49:48 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:49:48 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:49:48 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:49:52 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'299'), (b'X-Request-Id', b'02888fa2-58a5-4a6b-9822-ca73957459d5'), (b'X-Robots-Tag', b'noindex, nofollow'), (b'Transfer-Encoding', b'chunked')])
2026-03-22 14:49:52 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:49:52 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:49:52 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'1211'), (b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:49:53 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'298'), (b'X-Request-Id', b'f0464e0d-3dbe-4370-b19e-140978b44e4a'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-22 14:49:53 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:49:53 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:49:53 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'994'), (b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:49:55 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'297'), (b'X-Request-Id', b'15cdfecd-8c14-4153-9e41-58100480a2c2'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-22 14:49:55 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:49:55 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=True
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:49:55 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
