2026-03-21 18:34:28 | INFO | browser_agent.cli | OpenAI model=gpt-5-mini-2025-08-07 base_url=https://ru-2.gateway.nekocode.app/alpha/v1
2026-03-21 18:34:28 | DEBUG | asyncio | Using selector: EpollSelector
2026-03-21 18:34:28 | INFO | browser_agent.browser | Launching persistent Chromium context at .browser_profile
2026-03-21 18:34:28 | INFO | browser_agent.tools | TOOL get_current_page_snapshot args={}
2026-03-21 18:34:28 | INFO | browser_agent.tools | TOOL get_current_page_snapshot result={"url":"about:blank","title":"","viewport":{"w":1280,"h":800},"interactive":[],"visible_text":""}
2026-03-21 18:34:29 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5-mini-2025-08-07 messages=2 tools=False
2026-03-21 18:34:29 | DEBUG | httpcore.connection | connect_tcp.started host='ru-2.gateway.nekocode.app' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-21 18:34:29 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7e4ac792d880>
2026-03-21 18:34:29 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7e4ac69ea450> server_hostname='ru-2.gateway.nekocode.app' timeout=5.0
2026-03-21 18:34:29 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7e4ac705aed0>
2026-03-21 18:34:29 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-21 18:34:29 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-21 18:34:29 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-21 18:34:29 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-21 18:34:29 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-21 18:34:39 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'1621'), (b'Content-Type', b'application/json'), (b'Date', b'Sat, 21 Mar 2026 15:34:39 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'299'), (b'X-Request-Id', b'b9324064-c975-4a1a-bfbe-e83a07dcca53'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-21 18:34:39 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-21 18:34:39 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-21 18:34:39 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-21 18:34:39 | DEBUG | httpcore.http11 | response_closed.started
2026-03-21 18:34:39 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-21 18:34:39 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5-mini-2025-08-07 messages=2 tools=False
