2026-03-22 14:07:29 | INFO | browser_agent.cli | OpenAI model=gpt-5.1-2025-11-13 base_url=https://ru-2.gateway.nekocode.app/alpha/v1
2026-03-22 14:07:29 | DEBUG | asyncio | Using selector: EpollSelector
2026-03-22 14:07:29 | INFO | browser_agent.browser | Launching persistent Chromium context at .browser_profile
2026-03-22 14:07:47 | INFO | browser_agent.tools | TOOL get_current_page_snapshot args={}
2026-03-22 14:07:47 | INFO | browser_agent.tools | TOOL get_current_page_snapshot result={"url":"about:blank","title":"","viewport":{"w":1405,"h":624},"interactive":[],"visible_text":""}
2026-03-22 14:07:47 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:07:47 | DEBUG | httpcore.connection | connect_tcp.started host='ru-2.gateway.nekocode.app' port=443 local_address=None timeout=5.0 socket_options=None
2026-03-22 14:07:47 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a7c1d59f560>
2026-03-22 14:07:47 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7a7c1d72f150> server_hostname='ru-2.gateway.nekocode.app' timeout=5.0
2026-03-22 14:07:48 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7a7c1df6b8c0>
2026-03-22 14:07:48 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:07:48 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:07:48 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:07:48 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:07:48 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:07:50 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'299'), (b'X-Request-Id', b'4d183eaa-3848-427e-b078-021369c9f276'), (b'X-Robots-Tag', b'noindex, nofollow'), (b'Transfer-Encoding', b'chunked')])
2026-03-22 14:07:50 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:07:50 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:07:50 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'1190'), (b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:07:52 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'298'), (b'X-Request-Id', b'8469e319-8061-4223-beb1-97f6af35471a'), (b'X-Robots-Tag', b'noindex, nofollow')])
2026-03-22 14:07:52 | INFO | httpx | HTTP Request: POST https://ru-2.gateway.nekocode.app/alpha/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | response_closed.started
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | response_closed.complete
2026-03-22 14:07:52 | DEBUG | browser_agent.openai | OpenAI request: model=gpt-5.1-2025-11-13 messages=2 tools=False
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | send_request_body.complete
2026-03-22 14:07:52 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-03-22 14:07:53 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Length', b'979'), (b'Content-Type', b'application/json'), (b'Date', b'Sun, 22 Mar 2026 11:07:53 GMT'), (b'Vary', b'Origin'), (b'X-Ratelimit-Limit', b'300'), (b'X-Ratelimit-Remaining', b'297'), (b'X-Request-Id', b'f394df28-8a19-4c3d-abf9-3c66e9037a6c'), (b'X-Robots-Tag', b'noindex, nofollow')])
